Tournament/Split,League,Date,Game,Map,Team 1,Team 2,T1A1,T1A1P,T1A2,T1A2P,T1A3,T1A3P,T1A4,T1A4P,T1A5,T1A5P,T2A1,T2A1P,T2A2,T2A2P,T2A3,T2A3P,T2A4,T2A4P,T2A5,T2A5P,Winner,Loser
Champions Tour 2025: Americas Kickoff Quarters,Americas,"Jan 18, 2025",2,Bind,SEN,100T,Brimstone,Zellsis,Viper,bang,Tejo,johnqt,Gekko,N4RRATE,Raze,zekken,Brimstone,Cryo,Viper,zander,Gekko,Boostio,Fade,eeiu,Raze,Asuna,SEN,100T
Champions Tour 2025: Americas Kickoff Quarters,Americas,"Jan 18, 2025",3,Pearl,SEN,100T,Astra,bang,Vyse,Zellsis,Tejo,johnqt,Fade,N4RRATE,Yoru,zekken,Astra,zander,Killjoy,Boostio,KAY/O,Asuna,Fade,eeiu,Jett,Cryo,SEN,100T
Champions Tour 2025: Pacific Kickoff Round 1,Pacific,"Jan 19, 2025",1,Abyss,GE,TS,Astra,Deryeon,Omen,Papi,KAY/O,kellyS,Sova,Kr1stal,Jett,UdoTan,Omen,2GE,Cypher,Wild0reoo,KAY/O,invy,Sova,JessieVash,Jett,Jremy,TS,GE
Champions Tour 2025: Pacific Kickoff Round 1,Pacific,"Jan 19, 2025",2,Split,GE,TS,Astra,Papi,Cypher,Deryeon,Deadlock,kellyS,Fade,Kr1stal,Raze,UdoTan,Astra,2GE,Cypher,JessieVash,Deadlock,invy,Skye,Wild0reoo,Raze,Jremy,GE,TS
Champions Tour 2025: Pacific Kickoff Round 1,Pacific,"Jan 19, 2025",3,Pearl,GE,TS,Astra,Papi,Killjoy,Deryeon,Vyse,kellyS,Sova,Kr1stal,Jett,UdoTan,Astra,2GE,Killjoy,Wild0reoo,KAY/O,invy,Sova,JessieVash,Jett,Jremy,GE,TS
Champions Tour 2025: China Kickoff LR1,China,"Jan 19, 2025",1,Pearl,DRG,TYL,Astra,Flex1n,Cypher,vo0kashu,KAY/O,Nicc,Fade,SpiritZ1,Jett,TvirusLuke,Astra,5CM,Killjoy,slowly,Yoru,Eren,Sova,hfmi0dzjc9z7,Jett,Ninebody,DRG,TYL
Champions Tour 2025: China Kickoff LR1,China,"Jan 19, 2025",2,Haven,DRG,TYL,Omen,Flex1n,Cypher,vo0kashu,Breach,Nicc,Sova,SpiritZ1,Jett,TvirusLuke,Omen,5CM,Cypher,Ninebody,Breach,slowly,Sova,hfmi0dzjc9z7,Neon,Eren,DRG,TYL
Champions Tour 2025: Pacific Kickoff Round 1,Pacific,"Jan 19, 2025",1,Abyss,DFM,RRQ,Astra,Jinboong,Omen,gyen,KAY/O,Akame,Sova,Art,Jett,Meiy,Astra,xffero,Omen,Monyet,KAY/O,Estrella,Sova,Kushy,Jett,Jemkin,DFM,RRQ
Champions Tour 2025: Pacific Kickoff Round 1,Pacific,"Jan 19, 2025",2,Pearl,DFM,RRQ,Astra,gyen,Killjoy,Jinboong,Iso,Akame,Sova,Art,Yoru,Meiy,Astra,Estrella,Vyse,xffero,Jett,Jemkin,Sova,Kushy,Phoenix,Monyet,RRQ,DFM
Champions Tour 2025: Pacific Kickoff Round 1,Pacific,"Jan 19, 2025",3,Haven,DFM,RRQ,Omen,gyen,Cypher,Jinboong,Breach,Akame,Sova,Art,Neon,Meiy,Omen,Monyet,Killjoy,xffero,Breach,Estrella,Sova,Kushy,Jett,Jemkin,RRQ,DFM
